SKU,Nombre,Marca,Precio,Rating,Tags,Descripcion,link,fecha
2000382923261P,RESIDENT EVIL VILLAGE,SONY,$52.990,1,"Sony, Playstation 4, Videojuegos","RESIDENT EVIL VILLAGEVive el horror de supervivencia como nunca antes en el octavo episodio principal de la historiada saga de Resident Evil: Resident Evil Village.Ambientado unos pocos años después de los eventos horribles del Resident Evil 7: Biohazard, aclamado por la crítica, la nueva historia comienza con Ethan Winters y su esposa Mia viviendo tranquilamente en una nueva ubicación, libres de sus pesadillas pasadas. Justo cuando están construyendo su nueva vida juntos, la tragedia les cae encima de nuevo.Acción en primera persona: Los jugadores adoptarán el papel de Ethan Winters y vivirán cada batalla y persecución aterradora de cerca a través de una perspectiva en primera persona.Caras familiares y enemigos nuevos: Chris Redfield típicamente ha sido un héroe en la saga de Resident Evil, pero su aparición en Resident Evil Village aparentemente lo envuelve de propósitos siniestros. Una hueste de nuevos adversarios que habitan el enigmático pueblo perseguirán incansablemente a Ethan y entorpecerán cada uno de sus movimientos mientras él trata de encontrar sentido a la nueva pesadilla en la que se encuentra.Un pueblo vivo que respira: Mucho más que un telón de fondo para los eventos horripilantes que se desarrollan en el juego, el pueblo es un personaje por derecho propio, lleno de misterios para que Ethan los descubra y de terrores de los que escapar.",https://simple.ripley.cl/resident-evil-village-2000382923261p,19/07/2021
2000379558452P,GHOST OF TSUSHIMA,SONY,$59.990,5,"Sony, Playstation 4, Videojuegos","GHOST OF TSUSHIMAEn una Tsushima devastada por la guerra, su antiguo esplendor perdura.Adéntrate más allá del campo de batalla para experimentar el Japón feudal como nunca. En esta aventura de acción de mundo abierto, recorrerás inmensos paisajes y amplios terrenos para encontrarte con personajes complejos, visitar emblemáticos lugares ancestrales y descubrir la belleza escondida de Tsushima.Explora regiones meticulosamente recreadas que muestran la diversidad de la vida de la extensa isla, desde ondulantes campos y tranquilos templos hasta antiguos bosques, pueblos e inhóspitas montañas. Encuentra paz en los momentos de silencio y armonía con la naturaleza, y consuelo en los momentos que compartirás con las personas que ayudes por el camino.Desafía a tus oponentes cuerpo a cuerpo con tu katana para disfrutar de una experiencia inmersiva única de combate samurái. Domina el arco para eliminar las amenazas lejanas con una precisión letal. Desarrolla tácticas de sigilo y engaño para desorientar a tus enemigos y tenderles emboscadas con ataques sorpresa.INFORMACIÓN ADICIONALDualshock 4",https://simple.ripley.cl/ghost-of-tsushima-2000379558452p,19/07/2021
2000383487441P,RATCHET AND CLANK: RIFT APART,SONY,$67.990,Sin,"Sony, Playstation 4, Videojuegos","RATCHET AND CLANK: RIFT APARTÁbrete camino en una aventura interdimensional con Ratchet y Clank. Salta entre mundos llenos de acción y más allá, a velocidades alucinantes. Completa esta experiencia con imágenes deslumbrantes y un loco arsenal, mientras los aventureros intergalácticos irrumpen en la Consola PS5 ™.INFORMACIÓN ADICIONALArmamento: Un malvado emperador robótico está trabajando horas extras para acabar con la vida orgánica, con Ratchet y la propia dimensión de Clank que sigue en su punto de mira. Es así como tendrás que desempolvar al dinámico armamento y detener un colapso dimensional en seco.Caras nuevas: Une al equipo supremo con un elenco de aliados familiares y caras nuevas, incluido el luchador de la resistencia, Lombax, que está igualmente decidido a acabar con el emperador robótico.Imágenes impresionantes: Disfruta de una aventura interdimensional visualmente deslumbrante impulsada por la velocidad alucinante y características inmersivas de la consola PlayStation®5.",https://simple.ripley.cl/ratchet-and-clank-rift-apart-2000383487441p,19/07/2021
2000380128552P,CRASH BANDICOOT 4 PS4,SONY,$59.990,Sin,"Sony, Playstation 4, Videojuegos","CRASH BANDICOOT 4 PS4No hay más. Siguiendo por donde se quedó la trilogía original, Neo Cortex y el Dr. Nefarious Tropy han escapado de su prisión tridimensional y, al hacerlo, han roto los límites del espacio-tiempo. La salvación está en manos de Crash y Coco.Altera las leyes de la realidad. Manipula el tiempo, dale la vuelta a tu mundo y altera las leyes de la realidad a medida que domines las cuatro poderosas máscaras cuánticas. Aprende todas las habilidades nuevas con dada máscara y únelas para restaurar el orden del multiverso. ¡Consigue este genial videojuego en Ripley.com!",https://simple.ripley.cl/crash-bandicoot-4-ps4-2000380128552p,19/07/2021
2000381294157P,SPIDERMAN MILES MORALES PS4,SONY,$59.990,1,"Sony, Playstation 4, Videojuegos","SPIDERMAN MILES MORALES PS4Sé mejor. Sé quién eres.Experimenta el ascenso de Miles Morales y sé testigo de cómo el nuevo héroe domina nuevos poderes increíbles y explosivos para convertirse en su propia versión de Spider-Man.En la última aventura del universo de Spider-Man de Marvel, el adolescente Miles Morales intenta ajustarse a su nuevo hogar mientras que sigue los pasos de su mentor, Peter Parker, para convertirse en el nuevo Spider-Man.Pero cuando un feroz enfrentamiento por el poder amenaza con destruir su hogar, el aspirante a héroe entiende que un gran poder conlleva una gran responsabilidad. Para salvar a la Nueva York de Marvel, Miles debe adoptar el manto de Spider-Man y volverlo propio.- El ascenso de Miles MoralesMiles Morales descubre poderes explosivos que lo diferencian de su mentor, Peter Parker. Domina sus ataques bioeléctricos de ráfaga de veneno y su poder de camuflaje junto con espectaculares acrobacias de lanzamiento de telarañas, accesorios y habilidades.- Una guerra por el poderUna guerra por el control de la Nueva York de Marvel estalló entre una corporación de energía siniestra y un ejército criminal con tecnología de punta. Ahora que su hogar es el epicentro de la batalla, Miles debe aprender el costo de convertirse en héroe y decidir qué sacrificar por el bien mayor.- Un nuevo y vibrante hogarRecorre las ciudades nevadas del nuevo vecindario ajetreado y bullicioso mientras Miles busca un sentido de pertenencia. Cuando la línea entre su vida personal y su lucha contra el crimen se vuelve muy delgada, Miles descubre a las personas en las que puede confiar y encuentra un verdadero hogar.",https://simple.ripley.cl/spiderman-miles-morales-ps4-2000381294157p,19/07/2021
MPM00017580381,JOYSTICK PLAYSTATION 4 BLUETOOTH ROJO PUNTOSTORE,DBLUE,$45.490,Sin,"Sony, Playstation 4, Videojuegos","El controlador inalámbrico incluye los controles conocidos e incorpora muchas funciones innovadoras para adentrarse en una nueva era de experiencias interactivas. Sus joysticks análogos y botones de gatillo definitivos fueron mejorados para mayor sensación al tacto y sensibilidad, el panel multitáctil con capacidad de clic amplía las posibilidades de juego.Características:- Conexión Bluetooth.- Sensor de 6 ejes.- Touch Pad.- Botones: 4 botones de acción, L1, R1, L1, R2. Botones direccionales, Arriba / Abajo / Izquierda / Derecha, 2 barras analógicas, inicio, seleccionar, comenzar.- Marca joysticks 3D de Polyshine.- Batería recargable de polímero 600Ma incorporada.- Puerto para auriculares.- Doble vibración.¿Qué hay en la caja?- Cable USB",https://simple.ripley.cl/joystick-playstation-4-bluetooth-rojo-puntostore-mpm00017580381,19/07/2021
MPM00015866360,NACON REVOLUTION PRO CONTROLLER V3 PS4/PC - SNIPER,,$109.990,Sin,"Sony, Playstation 4, Videojuegos","Producto con licencia oficial PS4.Toda la potencia del REVOLUTION en un mando con cable para PS4 que incluye software para una personalización completa. Ajusta a tu gusto la respuesta de cada joystick, crea tus propios perfiles de juego y sube de nivel más deprisa en tus juegos favoritos.Cable trenzado 3 Metros USB, desmontable para un fácil almacenamiento Botones de atajo configurables 4x - hacer ajustes manualmente sobre la marcha Desencadenantes analógicos dobles, botones de hombro dobles, almohadilla direccional de 4 o 8 direcciones: ideal para juegos de lucha.",https://simple.ripley.cl/nacon-revolution-pro-controller-v3-ps4pc-sniper-mpm00015866360,19/07/2021
2000380214156P,UFC 4,SONY,$62.990,Sin,"Sony, Playstation 4, Videojuegos","UFC 4 PS4UFC 4 es un videojuego de lucha que recrea las peleas de artes marciales mixtas, con un desarrollo donde EA Sports busca brindarte la experiencia más real con los principales luchadores de la competición, con animaciones que te harán sentir dentro del octógono, y en el que hay nuevos contenidos, incluido un modo Carrera en que progresar de amateur a estrella de la Ultimate Fighting Championship.",https://simple.ripley.cl/ufc-4-2000380214156p,19/07/2021
MPM00015917110,HORI REAL ARCADE PRO 4 KAI (BLACK) PS4 - SNIPER,HORI,$189.990,Sin,"Sony, Playstation 4, Videojuegos",Con licencia oficial de SCEACompatible con PlayStation 4,https://simple.ripley.cl/hori-real-arcade-pro-4-kai-black-ps4-sniper-mpm00015917110,19/07/2021
2000380671287P,PS4 DRAGON BALL FIGHTER Z,SONY,$26.990,Sin,"Sony, Playstation 4, Videojuegos","PS4 DRAGON BALL FIGHTER Z¡LOS EQUIPOS DE COMBATE MÁS PODEROSOS DEL UNIVERSO! Combina las dinámicas clásicas de los juegos de lucha en 2D con la espectacularidad del universo Dragon Ball. Jugadores experimentados como novatos podrán formar su equipo con sus personajes favoritos. El juego combina el poder del motor Unreal y el talento del equipo de Arc System Works con Excelentes Gráficas.El JuegoMás de 20 personajes seleccionables, desde Dragon Ball hasta Dragon Ball Súper.Desarrollado por Arc System, creadores de éxitos de peleas como Guilty Gear y BlazBlue.El formato de pelea por equipos aporta dinamismo y frescura.Impresionantes súperpoderes y ataques desde múltiples ángulos.Luchas espectaculares, batallas aéreas, escenarios dinámicos, eso y más a 60FPS y 1080p.INFORMACIÓN ADICIONALGénero: Peleas en equipos (3v3).Idioma: Español.Jugadores: 1-2 local. Multiplayer Online: Sí.",https://simple.ripley.cl/ps4-dragon-ball-fighter-z-2000380671287p,19/07/2021
